sentiment,text
POSITIVE,"I have been coming here for a couple years and love coming here. My food is never wrong, always have great service and also like it that my favorite server"
NEGATIVE,I was in need of a new bedroom set last year and I checked this place out. Sam helped me and he was friendly and helpful. I was able to
NEGATIVE,"I'm confused...why does it say Italian, breakfast-brunch? The staff and bartenders were awesome!! Their food however, wasn't. You could tell the pretzel bites were frozen and heated in a microwave."
NEGATIVE,I havent been in here for many years and it feels like the place has changed massively. The selction of ales is impressive and their main line spirts/beers are interesting
NEGATIVE,"I'm not a complainer. I've stayed in some pretty bad hotels before, but I went into those KNOWING they would be bad. I expected a little more out of a"
NEGATIVE,"I love Pei Wei... But not this Pei Wei! Not only the worst Pei Wei I've been too, but one of the worst restaurants I've been to in my life."
NEGATIVE,"Looks like the old Renegades is gone and a new one taking over. The bar area is basically the same...although I think they changed the T.V. screen positions, for the"
NEGATIVE,"I'm not a frequent Yelp user, however this is best resource I can think of to share my experience with Rich, who is the manager of Ra-off of Mill Avenue."
POSITIVE,"Had a great time racing, all had fun! 2 teens and 2 adults. Had a terrific time. Free shuttle pick up. ;-)"
NEGATIVE,"Extremely mediocre food that is not worth the price.  Two drinks, a sandwich, and a burger ran us $80, which I would be fine with if it were great"
NEGATIVE,It wasn't bad but it wasn't the greatest either. Shrimp taco had 4 pieces of shrimp and all lettuce. The burritos are huge and you get a lot of food
POSITIVE,Got there on a Saturday night around 6:50pm We were seated right away. Heather was our server. She was amazing! The food was great. I had the filet and it
POSITIVE,I don't know what it is but all buffet food taste the same no matter where you are. I love Golden Corral. There is lot and lots of options for
POSITIVE,"This is the my favorite Costco. It's less than 8 miles from my house and the staff are so nice. Most important, the fruits are fresh.Not all store are dealing"
POSITIVE,Subaru Miller in Salt Lake City Utah was extremely satisfying in customer service. It is surprising that Subaru in Chandler surpassed my expectations! My experience today was a routine warranted
POSITIVE,"Definitely a fan of Mon Ami Gabi. After an underwhelming  trip to a different French restaurant in Vegas about a month ago, I was psyched to get another chance"
POSITIVE,"I typically hate hospitals and have had some very bad experiences in many of them, in different states but especially at UPMC facilities, and have even had some unpleasant experiences"
POSITIVE,"Ate at the Company, as I was staying at the Luxor and seeing the (awful)Criss Angel show there that night. It ended up being an excellent choice. As I cannot"
POSITIVE,"I have been to Olive Tree Mediterranean Market several times, yet I have only had a few items on their menu because they are sooo good!  The babaganoush, "
POSITIVE,"For an in depth knowledge of the cultures, the arts and anything related to Native American history, this place provides all that and more.It's $15 for admission and $7.50 for"
POSITIVE,"Great service, honest and reliable.  Thank you John, Service King is a great!!"
NEGATIVE,"If there was an option to give 0 stars, I would have picked that. So I went to this place last night. And the food was OK... nothing fabulous. It"
POSITIVE,Awesome BBQ!!! HUGE portions! Perfect for sharing! Great staff! Be sure to ask for the garlic green beans. They aren't on the menu but they rock! This place is a
POSITIVE,"Deuxième fois que j'y vais et encore plus heureux que la première :) très bon barbier (Marcello), très sympathique, et le salon est sympa! Le prix est raisonnable vu la"
POSITIVE,"Came on a Sunday night, and they played great music--something for everyone who loves to dance! I liked that the crowd seemed more in my age range (28 years old"
NEGATIVE,"The name of the so-called ""steak and potato"" burrito should be changed to the gristle and french fry burrito. It was so awful I gave it to the dog. It"
NEGATIVE,Our first night at the Red Rock we decided to eat a late dinner at the Grand Cafe. I wasn't expecting it to be anything too special since it is
NEGATIVE,Horrible. Booked a time online. Called to confirm and yet they're late. So late that we had to change our plans (catching a shuttle to Milwaukee airport). DON'T USE THIS
NEGATIVE,"Well I would love to tell you if the food was good or bad, but I did not get the chance.  I arrived at RE tapas at 9:00 on"
NEGATIVE,The food was okay this was our second time there but it was overshadowed by the horrible horrible service we were left without drinks for an unbelievably long time then
NEGATIVE,No bueno!!  The guy who took my order over the phone was unprofessional & said our food would be ready in 5min.  We didn't believe him so we
NEGATIVE,"Mexican run sushi place that sucks. Waiter was drunk trying to cook, fighting amongs themselves, rude and dirty place"
NEGATIVE,Called in order using 'Eat24'. Asked for delivery @ 11:45am (making sure it was here for lunch). Delivery showed up at 10:40am. Was missing one of the drinks for co-worker.
NEGATIVE,"***** Worst Beef Noodle Soup ***** The instant beef noodle soup (Nissin- I believe) is better.  Seriously, go put that in the microwave and it'll be better.  And"
POSITIVE,I stopped by this Chick Fil A because of a disastrous catering experience at a different location. Danielle helped me with a last minute strip and nugget tray that only
NEGATIVE,"You mean to tell me I not only spent $4 on a tostada, but spent 15 minutes waiting for it as well?I ordered the Vampiro under the impression it would"
POSITIVE,Everytime I've gone here for lunch it's been fantastic.  The service is super friendly and the food is AWESOME!!!  With the weather as it is now it's always
POSITIVE,Easy booking process.  Eric showed up on time and couldn't have been more friendly and professional.  He explained to me the process and answered all of my questions
NEGATIVE,This place blows. Horribly slow service and awful food. Go anywhere else and you would be making a wise choice.
POSITIVE,I received a bill for $28 in the mail from them and I couldn't figure out why...  I *thought* I'd paid for my filling in full on my first
POSITIVE,Senor taco is a great Mexican food restaurant! Even after only going there 3 times I can say its one of the best Mexican restaurants I have been going back
POSITIVE,"I really love this place. It's small, it's clean, and it's delicious. The prices are very reasonable and you can find their coupons EVERYWHERE (at least in all of the"
NEGATIVE,Not sure what happened to this place.  Used to love it.  I just stopped by today and the place looks like its on its way out of business.
NEGATIVE,"Do not come to Sami & Co. for a haircut especially if you have ethnic hair. I took my daughter for a trim and ""Jessie"" did a terrible job. The"
NEGATIVE,"Amazing coffee, but they closed their espresso machine a half hour before closing. So unprofessional. Unreal. Never go here."
POSITIVE,very clean and all staff members are amazing
POSITIVE,Click here to see the videohttp://m.youtube.com/watch?feature=youtu.be&v=21mXCyAfq_U
NEGATIVE,The bier garden was great since the weather was perfect in Madison while I was there. The taster flights were served in plastic cups (I hate plastic cups). I tried
NEGATIVE,"Was pretty pumped to try a new place downtown, but 'meh' pretty much sums it up. Service was fine, but our waitress seemed a little overwhelmed by the number of"
NEGATIVE,Oh my.. how can you mess up on fried rice AND chow mein. These are Chinese fast food staples. They were either too salty or too starchy. And they give
NEGATIVE,"Your seizure inducing commercial is LITERALLY one of the most annoying things to come on the TV, so much so that I had a sudden urge to pummel the idiot"
POSITIVE,This is the best place to get Thai food in the surrounding area. They make one of the best Tom Yum Soup. Their Orange and Red curries are delicious. The
POSITIVE,What a beautifu hotel!  It's got three pools and a waterslide.  The restaurant is very good here as well and the staff are friendly.  What's to complain
POSITIVE,"Have to agree with the positive reviews posted about BFG Chicken Strips.  They serve a simple menu, but the execution of their chicken strips is spot on. Weather you"
POSITIVE,Hanging out for Oktoberfest and I had a great time. I love Tempe Beach Park. It's nice to go sit by the lake at night. Peaceful. Also nice for a
NEGATIVE,Great food every time we eat here. But...Hostess with short bangs and sandy blond hair was extremely rude when we asked to have a candle added to our table (since
POSITIVE,"I'm not so much as rating the salon/spa as I am the stylist that took care of me. The salon is big with lots of different options to spoil yourself,"
POSITIVE,"Situé en face du Théâtre St-Denis, donc une belle opportunité avant un spectacle, j'y suis allée sans me faire d'attente. Quel secret bien gardé que ce Confusion Tapas du monde."
NEGATIVE,"This place charged my credit card three times, then came back and lied to me saying they're system was down so I paid cash only to find out they charged"
POSITIVE,"Pho Minh is this cool little family-run noodle shop that is great for both sit-down eating and take-out.  The food isn't the best I've ever had, but its quality"
NEGATIVE,I have been to the Scottsdale location on two separate occasions within the past 2 months.  BOTH have been a total letdown.  While the facility was pretty well
NEGATIVE,"Horrible experience at this local restaurant. My party of 3 people on a Friday night at 9pm had to wait over a half an hour for a GREASY, BURNT cheese"
NEGATIVE,the other reviews must have been written by friends and family because they are down right lies.  The food was horrible they werent serving half of the menu since
POSITIVE,"I'm giving Tabu 4 stars, but that's based on you getting in for free, which will rarely happen if you are a guy.  Basically, Tabu is a club for"
NEGATIVE,Tried this place a few times and just not that impressed with the food.  Seems to be more of a place to drink than eat.
POSITIVE,"One of our favorites. It is hard to just order a Pizza for take out.  You need to throw in some artichokes, a salad, some spaghetti and some extra"
POSITIVE,"Even though it's right across the street from UNLV, the crowd is more mixed than you might think.  I suspect that's because there's not a lot of bars in"
NEGATIVE,Here we go again!  I bought 2 Groupons for this restaurant & our 1st experience was horrible.  The Groupon was expiring so we thought we could just go
POSITIVE,"Rented a great mountain bike to ride the McDowell mountain trails and couldn't have been more pleased. Friendly, helpful staff and I'll definitely be visiting again."
POSITIVE,"It's tough being the top breakfast place in your city on Yelp. It draws in big crowds and even bigger expectations to live up to. Plus, with a name like"
NEGATIVE,I wish there was a 0-star for this. WORST EXPERIENCE EVER! Called earlier in the night and booked an appointment for myself and my friend to come and get gel
POSITIVE,This is a reasonably priced fun bar that has a really great vibe. The bartenders are friendly and the specialty drinks were unique and delicious. We went here for Halloween
NEGATIVE,The worst experience ever! I called about a week before I needed 2 dz cupcakes for my sons 10th birthday party. I didn't even flinch when the girl on the
POSITIVE,"I finally had bluefin tuna!  This place offers 3 different cuts of it, basically they were 3 different price levels.  I opted for the middle one, the Oh-Toro"
POSITIVE,Wow!! The chicken is sooo good!!The fries have this special spice which makes it really good.Get the hot sauce on you chicken and dip your fries in it. This is
POSITIVE,"I received a great treatment here. The price is high, but it is an airport. I paid 3.99 for water that is apx 2 $ less back home. So, spa"
NEGATIVE,"Used to suck. Then it got amazingly better. We even started to eat there for about two years. Then recently it changes again - like theChicken tastes weird sometimes, bland"
POSITIVE,Food is awesome. They have lots of choice. I love their falafel and Baklava. I suggest to try baklava.
NEGATIVE,shopping is a serious sport and sometimes you need some sustenance to help you continue on. what i ate:- roast beef panini- bagel with cream cheesepros:- food was pretty good.
POSITIVE,"It was great, people complain to much, beast steak I've had in a LONG while and I'm not a steak lover, I would have given it 5 stars but no"
NEGATIVE,Went there for Sunday brunch...Not good at all. Food quality was below average and service was poor.
NEGATIVE,It is not what it's hyped up to be. It's a high class State Fair with lots of low class vendors selling sunglasses and bric-a-brac in between the airplanes and
POSITIVE,I had a great experience here shopping for two suits that fit me very well and were a unique style. Great service from the sales guys/gals was a shopping pleasure.
POSITIVE,"cannot go wrong with the gargantuan, super delicious. ordered for 7 guys at my office, they only took about 30-40 minutes for delivery which was great. highly recommend over subway"
NEGATIVE,Boulware of comments they aren't real!!! A guy saw my girlfriend and I walking and offered free admission if he was able to put a comment on my phone about
POSITIVE,Dont expect a gourmet dinner but that is not why you go to a place like this. Nothing fancy but alot of variety. This is the best of the Chinese
POSITIVE,"When in Vegas, stop by Jimmy Buffet's Margaritaville on the Strip for happy hour. Two different margaritas for $5 and they pack a punch! It's nice to actually taste the"
NEGATIVE,"I'm not a huge fan of purchasing overpriced and underrated electronics here but my husband insisted on buying another best buy computer, even after our last terrible experience. So here"
POSITIVE,Chad Arend is not only the consummate professional....but was able to show us over 50 condo's before we chose the right one!! He never lost his patience with us...as he
POSITIVE,"Plenty of workout equipment, easy parking, rooftop soccer field and tennis courts are awesome!"
NEGATIVE,The food is good but the service is awful. I placed an order online and waited three hours without my order being delivered. I call after and hour and a
POSITIVE,"I will say that I was not really expecting much from this place, but my girlfriend wanted to go to a close Italian place, so I picked this one. "
POSITIVE,"Fun, huge portions..ultimately good food."
POSITIVE,First class experience with Good Guys all the way!  Mike did a great job from start to finish installing my electric car charger at my house.  Great service.
NEGATIVE,"I hardly ever review a restaurant but I had to review this one.  My husband and I had a craving for Chinese food, so we ordered take out from"
NEGATIVE,2 tellers on saturday afternoon.  15 people in line. Most disliked corporation in the usa. Branch exemplifies the sorry service...
POSITIVE,The steak was a little pricey but worth it. Not the biggest fan of the popcorn but the broccolini was flavored well. My boyfriend and I got there after I
NEGATIVE,I have sort of been on a mission to try all of the best burger places in Vegas so I decided to check out Gordon Ramsey's.  I did not
POSITIVE,Awesome night! Eighties music all night long with video. The people were probably 35 - 50's age range.  Lots of dancing and people in good spirits!
POSITIVE,I go here during my lunch break it is fast and easy. Prices are decent and the staff is always friendly. Anything you order turns out tasty. Only down side
NEGATIVE,"Chronic Tacos has the same sort of layout as Willy's, but it is in no way as good as Willy's! The service is horrible, the prices aren't great and the"
POSITIVE,"First off, I've got to say that the location and decor of this place is awesome. Great job by whoever is responsible for that. This is a great place for"
POSITIVE,"This is a nice little place.  My friend and I went for a early lunch and the restaurant is nice and small.  The server was really nice, and"
NEGATIVE,CVS Minute Clinic system text me that my doctor was ready but they made me wait now 30 minutes. This was a very unpleasant experience when your so sick. Stay
POSITIVE,Top notch in all they do!  A very friendly environment for families or for anyone!
POSITIVE,"I attended National Laser Institute's remote 9-day laser/medical aesthetics certification course in Boston, March 2015, and the experience was nothing less than fantastic! At the time I was a recent"
NEGATIVE,First of all I feel scammed here.  Why didn't I read the Yelp reviews beforehand?   I would have avoided this place like the plague. We got a
NEGATIVE,"Just a follow up to my previous post.  So after being turned away by the owner Nichole, being told I was having a reaction to the product, I then"
NEGATIVE,Saimin was flavorless. Korean chicken was pretty good. So were the musubis.  Good service. But try hawaiian hale. It's better.
POSITIVE,Hands down best Italian food place in Vegas plus the best service that I had at any restaurant. We sat in the booth so we had a nice view of
NEGATIVE,pinky's is closed
NEGATIVE,Great pizza for 2:30am Def ask for extra toppings though.Great atmosphere and if you don't like sucks for you. I did call ahead but apparently no one put my order
NEGATIVE,"These hamburgers taste like McDonald's burgers, however, are way overpriced (for the quality). I will not waste my money, here, again. Instead, I'll stick to gourmet burgers like those served"
POSITIVE,I ran across this gym on groupon because I was looking for a boot camp type of workout and decided to give this gym a try.  Well I was
POSITIVE,"Fantastic Experience, Outstanding Meat Quality, Magnificent Service, Worth every dollar."
NEGATIVE,"Horrible. Ordered a thin crust, what they have in mind is this messy, doughey mess with too much sauce. Stop calling it a thin crust! What are you, stupid? This"
NEGATIVE,These guys are crooks. Shop manager there said I needed a new tire and that another guy was going to come in an tell me about options available. Guy B
NEGATIVE,Asked for a trim and got more than half my hair cut off. asked for the sides to be thinned out and got a fade. If you want a fade
NEGATIVE,Nice seats and layout but I could not get over how the staff managed to serve the food to myself and others and key points during a very suspenseful movie.
POSITIVE,"The newly appointed salon is very nice. The vibrating chairs even have chargers available for any phone. My technician was good, though she made comments about the roughness of my"
NEGATIVE,"They have the worst customer service and organization.  Called ahead for order.  Arrived and paid for it said they would call me when ready, assuming few minutes. "
POSITIVE,Had an enjoyable massage at this location with Kevin. Very nice and clean space. Both owners were very friendly. I already booked my next treatment. Eager to try facial and
POSITIVE,I have been eating at Tokyo Express since I was teeny tiny.  My fam used to go a few times a week.  It's still the same and still
NEGATIVE,"My Dad was a patient there, did not find his blockages until he had heat attack waited 24 hours to take him to cath lab needed quad bypass a year"
POSITIVE,"This is a great store , They are really knowledgeable I just love T-Mobile so far , they are different from what it use to be .I got an iPhone"
NEGATIVE,Ate dinner here a week ago.  They advertised a free buffet for happy hour but turns out it is nothing more than chips and salsa.   They also
POSITIVE,Love this place. My 7 year old has her tennis classes here and they are so attentive to the kids. At the same time they really prep them for competitions
NEGATIVE,"I'm a sucker for home mailer coupons so I decided to try this salon for a discounted ""spa pedicure"". My first impression was that it looked a little rundown and"
NEGATIVE,"I order the honey chicken...and they forgot to rice. So when i called back, all they said was sorry and that was it. ...??? I IWLL NEVER EVER GO BACK....,"
NEGATIVE,Since new ownership in late summer of 2013 this once excellent restaurant is a shell of what the former owner built. I have lived in Moon Valley for 30+ years
POSITIVE,One if the best buffet I've been to so far. Almost can't say anything bad about this place. They food is quality and has a nice fancy feel. The place
NEGATIVE,I am a Vig brand super fan. Great food. Drinks. People. So this breaks my heart. The white trash-ass smoking allowed on the patio ruins this place. It occurs to
POSITIVE,"Excellent.(Okay, so it shines in part by its proximity to ... nothing. The coffee is burnt and the scones ... not so delish. Nonetheless, if you're in downtown Pheonix and"
NEGATIVE,"HORRIBLE SERVICE!!!!!! ., they charge a resort fee you when you check in and when you checkout.. Room service was horrible. Blood stains on the sheets, floor and bathroom!! They"
NEGATIVE,Took my car in because there was obviously an excessively worn u joint... they put it on the rack... said I needed 1 maybe 3 u joints replaced... they wouldn't
POSITIVE,"Went here on a food tour and this was one of the best stops. The chef prepared an amazing meal, so I'm sure many of the items on the menu"
POSITIVE,"I feel so late to the party on this local deliciousness. What a great breakfast menu and dog-friendly patio. Narrowing down what to eat was difficult. Southwest flavors, crab cakes?!"
POSITIVE,"Rooms are really nice. Staff is extremely polite. City view is absolutely gorgeous & worth the upgrade. Lastly, the hotel is in the middle of the strip & very convenient.Only"
NEGATIVE,"While this store is attractive and does have some pretty clothes for sale, I wouldn't personally frequent them again, either from a shopper's or a consigner's point of view. "
POSITIVE,"The empanadas were great, staff was very professional and greeted me as soon as I walked in. I tried the Frozen hot Chocolate and it was great! Definitely would recommend"
POSITIVE,My wife and I haven't had the best of luck with flat tires since moving to Arizona last September.  Luckiky S and S is nearby and have fixed all
NEGATIVE,I do hope people read this before they eat here. I agree with the previous review. The service is slow and disorganized. The food is waaaaaay overpriced for the portion
NEGATIVE,"I wasn't sure about writing this review because I tried to find the good in where I go, understand that dealing with the public is hard. With that said, still"
POSITIVE,"***Virgin America is a modern airline with a nice and fresh look, comfortable seating, friendly flight attendants and a fun safety video; airfare from LA to Las Vegas is reasonable"
NEGATIVE,"China star has a $4.99 asian lunch buffet from 11 am to 4 pm. That's the selling point, it is cheap.  Basically, China star is an all you can"
POSITIVE,"Absolutely and definitely would recommend this restaurant.  We have been here three times in the last week. Seafood is phenomenal. BBQ is fantastic as well. The bartenders , Dawn,Jeff"
NEGATIVE,"Took boys here to watch football. Please note I was Manager in restaurant for 10+ years. Seated us close to table that was supposed to be used for folding napkins/silverware,"
NEGATIVE,This washworks is now called Sparkle. I came because I received a coupon in Val Pak for the early bird special. I think it was $6 off between 8-10AM. Got
POSITIVE,"LOVE this place!!!  Everything on the menu is incredible.  Especially loved the Belgian waffle.  The ambiance is a bit basic and hole in the wall, but the"
POSITIVE,The plan was to have lunch at Eat after visiting the Downtown Farmers Market. However the market did not take very long and we arrived at Eat before the lunch
POSITIVE,Excellent tasting. The devils mess and the flash to wash it down. Well loved cooking shows in the food. Fresh and delicious! !!! Definitely a must go for just the
NEGATIVE,"Taste was okay, but preparation  and service very bad.  Pasta was clumped and could not separate.  Told waitress and she stated she would tell cook and offered"
POSITIVE,I had a wonderful experience here food and service was excellent. I will definitely become a regular.
NEGATIVE,"Worst qt Ever, an employee actually threatened to power wash my car when I tried to fill up and almost all of their pumps were out of order. I will"
POSITIVE,What an amazing place! We used them at our school for the Obstacle Run and Biaggio's brought the best pizza and the salad was SO tasty! We will use them
POSITIVE,Okay when I saw the store I didn't know what it was. I never heard of it before. There were samples out and I tried the sample with the popcorn.
POSITIVE,"Wow!  Wow!  Wow! The Mr. grew up in a very Polish town in central New Jersey, and the Mrs. had a Polish aunt (Uncle's wife).  Polish food"
POSITIVE,The salads are top notch but a little pricey ...but I love this place so friken awesome.
POSITIVE,"What a great New York spot, not only do they offer pizza, they offer a variety of stuffed calzones & homemade dishes, lasagna, baked ziti, etc. Upon arriving, the Manager/Owner"
POSITIVE,"I guess I just forgot about this place since I haven't been back for a while.Great pizza! Definitely try the Biancoverde and the Sonny Boy, they are my fav! Also"
NEGATIVE,what a rip-off! everything is small portion and overprice. dinner for us 2 wa 190.00 without alcohol. the decoration was beautiful and surrounded by large crowd of golddiggers.
NEGATIVE,"Definitely no coats here.  I spent the next 15 minutes pondering over several dress shirt/tie combinations.  In the end, I walked out empty handed.  The shoe section"
NEGATIVE,"Buffalo wild wings to me is like RA. Great atmosphere and service, but crappy food. I ordered twelve hot wings and a beer. We'll get to the beer in a"
NEGATIVE,"Actually Hertz social media person it did not get better, the issues got worse and I ended up renting from Enterprise, 10 min in and out. They provided excellent service"
POSITIVE,I echo the sentiments of those that spoke about the quality of customer service you get here. It truly is 5 star. Cesar H in the drive thru is the
POSITIVE,This is a good restaurant. yelp is insane. The bad reviews should be removed. If you think you can do better open your own restaurant. #justsayin
POSITIVE,"After sampling most of the pastrami sandwiches, I was shocked to taste the smoked meat at Schwartz's because it is actually better than those in New York! I feel a"
NEGATIVE,So my experience coming to Las Vegas was great my driver was nice she was so sweet. Forgot her name starts with a T. But coming back I had the
POSITIVE,"Not a prime store or location, but the employees are friendly enough and this is one of the few places we can find the dog food we like for our"
NEGATIVE,I ordered an item (pizza oven) to be delivered Dec. 24th as a gift and it finally showed up  Jan. 5th and it is broken .They said they could
NEGATIVE,It was fine.  With the 2 for 1 coupon it was about $11 per person on a week day. I certainly would not pay full price for it.
POSITIVE,"Once you stay at the Vdara, you learn to appreciate non-gaming, non-smoking and less rowdy hotels in Las Vegas more. It was a peaceful hotel with a contemporary look and"
POSITIVE,This company was perfect.  Great price and perfect pictures! I would recommend them for any occasion.
POSITIVE,"Definitely one of my favorite lunch spots in Vegas! Free bread samples when you come in with a healthy brush of butter?! Yes, please! Everything that I've had here is"
NEGATIVE,"Firts round of bread was Very tasty and warm, second round was cold no butter. Weird insistence about ordering water, they made sure to tell me it was tap water"
NEGATIVE,It was meh. I actually ordered lunch for my brother but had a bit of a taste. An hour later I was bloated. The chicken in the enchiladas was dried
POSITIVE,"I took my grandson to one of my favorite places , the grotto, for lattes. I'd never had their coffee yet so I decided on a mocha and as I"
POSITIVE,Become a member! Get a card to rack up points on the alcohol you buy. If you're a lush like myself and my friends then it'll pay off in no
NEGATIVE,"Unfortunately, the trip to India gate restaurant in chandler was a waste of time. The only good thing was that we had a buy one get one free coupon. The"
NEGATIVE,Add me to the disappointed by Optical Experts list. And I'm also not happy that many of their reviews aren't showing up. People should be warned about this business. Like
NEGATIVE,We have eaten at the Picazzo's in Tempe/Chandler (Warner and Kyrene) several times and enjoy their organic menu which is always delicious.  That's what we THOUGHT we were going
NEGATIVE,"This is an update to my previous raving review(4/2/15).This Filli's has changed. Their ingredients have changed, their potions have changed, and their recipes seem to have changed as well. I'm"
NEGATIVE,"Okay, I am trying not to be mean on this. I really feel bad saying this, but this buffet was disgusting. The food was bland and flavorless. The peach cobbler"
NEGATIVE,I was at 3K since my last oil change and I knew I had driven past this place a few times (I'm new to the area).So I drive up and
POSITIVE,big surprise. the staff was friendly and the food was great. had steak nachos. they were really full of ingredients. Definitely a new regular.
POSITIVE,"Yesterday I made my first visit to HELL POP COMICS.  I will be back. Nice selection, reasonable prices and the man behind the counter, Shane, very friendly and helpful."
POSITIVE,"Love, Love, Love! Charming, with great views if sitting on the balcony, good happy hour, great food, amazing service! Need I say more? OkI absolutely love this place, the prices"
NEGATIVE,No customer service. Liars to get your business then leave you hanging. We called several hotels to accommodate our parking situation for the night which was a Chevy Silverado truck
POSITIVE,"My wife and I just had dinner here, and it was great! I used a Groupon, which was happily accepted with no hassles or crazy stipulations. I had the filet,"
POSITIVE,Best Chinese buffet around they serve whole spareribs which others don't lots of seafood dishes too and good price and it's clean
NEGATIVE,Unbelievably HORRIBLE service.  Never again!!  My husband and I have been to this restaurant twice now within a few years.  Our first experience was ruined by a
NEGATIVE,"Went here for lunch with two co-workers, checked Yelp before we went and the reviews were very positive so we decided to give it a try.Yikes! How can the reviews"
NEGATIVE,"Meh. Drinks took awhile, food was pretty spare. Spinach artichoke dip was lacking any flavor. Move onto something better."
POSITIVE,"I just ate here for the first time tonight, and let me tell you -- UH-MAY-ZING!First off, I love the atmosphere and the decor of the place. The chairs are"
NEGATIVE,"Friday night and there are children (5-7 year olds!) running around, we ask the bartenders about this, and they say there is nothing they can do- it's up to the"
NEGATIVE,Just a little dive bar!  This is a spot that we used to head to for a few beers at the end of the night when I lived in
NEGATIVE,"I was soo hyped up to go to this place. I remember I ordered their famous frozen hot chocolate. Basically, it is a chocolate shake with a fancy name. Fancy"
NEGATIVE,Meant to write this review a while back.. oops. To be honest I was fine with the food at burger rush (their chicken fingers are great) but when my boyfriend
POSITIVE,burgers and shakes oh my!i had the Lamb Burger which tasted like a lamb shawerma which was delicious. Also had the Lunch box milkshake and that was awesome.  We
NEGATIVE,This place was straight up N.A.S.T.Y. I am prior military so I have eaten some not so good meals. I'm not a picky person. I think you can pretty much
POSITIVE,My family and I have been coming here for breakfast for YEARS and we have never left hungry :D Tilly is always wonderful and a joy to see and the
POSITIVE,"Superb, always consistent great food!I recommend the duck and the calamari! One of my favourite places in the city!!"
NEGATIVE,"I will rarely take the time to complain about service, but this place is terrible. We sat for 10 or more minutes until we were acknowledged, not by our server,"
POSITIVE,"Hannah and Todd are my jam. For those of you on a search for the perfect stylist, I know what it's like to struggle to make the decision to trust"
POSITIVE,This is the best Barbeque in Las Vegas! Great prices for the amount of food you get! Everything was delicious  Especially the brisket. This place has a great feel
NEGATIVE,"Way too loud.  I am used to dining establishments that are both intimate and rowdy.  This, being a rather high-priced restaurant, in my mind should have been a"
POSITIVE,"This place is fantastic. Not only were the cakes and macaroons amazing,  but they gave my daughter a gift because it was her birthday.  I suggest the raspberry"
POSITIVE,"Everything we ordered was absolutely fabulous. Food was served very quickly, excellent service. Loved the atmosphere!"
POSITIVE,"I have been to almost every high end steakhouse in Las Vegas including here twice, and this place is probably the best in the city. The service is second to"
NEGATIVE,"hecky no, &12.00 for 10 burgers.  no way, however on a wed. nite easy available parking in the rear....and why do they need 3 burly security guards standing around"
NEGATIVE,"I recently went into your store: Summerlin Store #1025: 9775 W CharlestonLas Vegas, Nevada 89117I enrolled my dog in the dog training classes.  The first class we attended (09/02/14)...no"
POSITIVE,Such a great place! The staff is so courteous. The rooms were kept very clean and smelt great. Loved the older hotel redone to be great again. The pool is
NEGATIVE,"I only go into this mall for thee places - Joy, Kookai and Xile. To be honest, I'm scared when I go in here. I don't like to stereotype, but"
